Year	Month	Count of review
2014	Apr	1
	Jun	1
	Jul	3
	Aug	1
	Sep	1
	Oct	5
	Nov	6
	Dec	8
2015	Jan	10
	Feb	3
	Mar	9
	Apr	5
	May	8
	Jun	1
	Jul	6
	Aug	2
	Sep	15
	Oct	8
	Nov	10
	Dec	30
2016	Jan	53
	Feb	42
	Mar	42
	Apr	50
	May	43
	Jun	51
	Jul	73
	Aug	70
	Sep	54
	Oct	45
	Nov	64
	Dec	79
2017	Jan	74
	Feb	50
	Mar	61
	Apr	52
	May	36
	Jun	32
	Jul	17
