ratings,review_titles,reviews
5.0,"""Excelent""","Very good product and service delivery , i recommend this product"
1.0,"""... Big letdown!""",Don't knock yourselves out trying to get this. It is NOT Stainless Steel! Plastic with 2 Clips not the four as shown.
